question,mot,indic
59, Quel est le taux d'impayés (P257.0),impayés,P257.0
60, Quel est le taux de réclamations pour l'eau potable ,réclamations,P155.1
61,Quel est le taux de réclamations pour l'assainissement,réclamations,P258.1
62,Quel est le taux de réclamations(P155.1),réclamations,P155.1
63,Quel est le taux de réclamations(P258.1),réclamations,P258.1
64,Quelle est la valeur de l'indicateur P155.1,P155.1,P155.1
65,Quelle est la valeur de l'indicateur P258.1,P258.1,P258.1
66, Quels sont les volumes non comptés(P105.3), volumes,P105.3
67,Quelle est la valeur de l'indicateur P105.3,P105.3,P105.3
68,Quelle est la valeur des pertes en résau(P106.3) , pertes,P106.3
69,Quelle est la valeur de l'indicateur P106.3,P106.3,P106.3
70,Quelle est la valeur des coupures d'eau(P151.1),coupures,P151.1
71,Quelle est la valeur de l'indicateur P151.1,P151.1,P151.1
72,Quelle est la quantité de boues évacuées (D203.0), boues,D203.0
73, Quelle est la valeur de l'indicateur D203.0,D203.0,D203.0
74,Quel est le pourcentage d'abonnés desservis par le réseau(P201.1),abonnés,P201.1
75,Quelle est la valeur de l'indicateur P201.1,P201.1,P201.1
76,Quel est le taux de conformité des équipements d'épuration (P204.3),équipement,P204.3
77,Quelle est la valeur de l'indicateur P204.3,P204.3,P204.3
78, Quel est le taux de conformité des performances épuration (P205.3),performance,P205.3
79,Quelle est la valeur de l'indicateur P205.3,P205.3,P205.3
80, Quel est le taux de conformité des boues évacuées (P206.3),boues,P206.3
81,Quelle est la valeur de l'indicateur P206.3,P206.3,P206.3
82,Quelle est la valeur du débordement d'effluents chez les usagers (P251.1),débordement,P251.1
83, Quel est le nombre de points noirs réseau (P252.2),noirs,P252.2
84,Quelle est la valeur de l'indicateur P252.2,P252.2,P252.2
85,Quelle est la valeur de la conformité performance acte individuel (P254.3),acte,P254.3
86,Quelle est la valeur de l'indicateur P254.3,P254.3,P254.3
87,Quelle est la valeur de la connaissance des rejets (P255.3) , rejets,P255.3
88,Quelle est la valeur de l'indicateur P255.3,P255.3,P255.3
89,Quel est le nombre de mise en uvre de l'assainissement non collectif (D302.0), mis en uvre,D302.0
90,Quelle est la valeur de l'indicateur D302.0,D302.0,D302.0
91,Quelle est la valeur de l'indice des volumes non comptés,volumes,P105.3
92,Quelle est la valeur de l'indice de pertes en réseau , pertes,P106.3
93,Quelle est la valeur de l'indice de coupures  ,coupures,P151.1
94,Quel est l'indice de protection de la ressource en eau (P108.3) , protection,P108.3
95,Quelle est la valeur de l'indicateur P108.3,P108.3,P108.3
96,Quelle est la valeur de la solidarité aux usagers pour l'assainissement de l'eau,solidarité,P207.0
97,Quelle est la valeur de l'endettement du service pour l'assainissement de l'eau,dette,P256.2
98,Quelle est la valeur de l'endettement du service pour l'assainissement de l'eau,endettement,P256.2
99,Quelle est la valeur de l'endettement du service pour l'eau potable,dette,P153.2
100, Quel est le total de points de connaissance du réseau pour l'assainissement de l'eau,connaissance,P202.2B
101, Quel est le taux d'impayés pour l'assainissement de l'eau,impayés,P257.0
